"class","cap.diameter","cap.shape","cap.surface","cap.color","does.bruise.or.bleed","gill.attachment","gill.spacing","gill.color","stem.height","stem.width","stem.root","stem.surface","stem.color","veil.type","veil.color","has.ring","ring.type","spore.print.color","habitat","season"
"e",3.38,"f","d","g","t","d","c","p",4.37,5.52,"","","g","","","f","f","","d","u"
"p",8.23,"f","","r","f","x","c","y",6.24,9.96,"","","w","","","f","f","","d","a"
"e",11.43,"x","","n","t","","","w",11.5,15.38,"b","","w","u","w","t","g","","d","u"
"e",7.24,"f","","y","f","a","c","w",6.14,13.12,"","","g","","","f","f","","d","u"
"e",6.89,"x","t","g","f","a","d","n",6.89,5.81,"","t","g","","","t","l","","d","u"
"e",4.1,"x","","l","f","a","","r",4.66,5.9,"","","l","","","f","f","","d","a"
"p",4.97,"b","t","n","f","","","n",10.62,6.79,"","","w","","","t","","k","g","u"
"p",2.76,"x","g","n","f","a","","p",9.69,2.75,"","","w","","","f","f","","d","a"
"e",8.61,"s","","l","f","s","c","b",7.07,19.05,"","","b","","","f","f","","l","w"
"p",3.2,"x","i","e","f","","","e",3.67,5.66,"","","e","","","f","f","n","d","a"
"p",8.35,"x","","g","t","x","","n",8.87,19.93,"s","","u","","u","f","f","","d","a"
"e",7.65,"s","d","o","f","d","d","b",6.39,12.99,"","","w","","","f","f","","d","a"
"e",7.23,"x","s","n","f","e","c","p",6.63,9.74,"","i","w","","","f","f","p","d","w"
"p",2.95,"o","","g","f","f","f","f",4.31,16.74,"","g","n","","","f","f","","d","u"
"p",9.58,"x","i","n","f","a","","n",9.55,13.91,"s","","n","","n","f","f","","d","a"
"p",9.33,"x","","u","t","x","","u",8.72,20.61,"s","","g","","u","f","f","","d","a"
"p",3.96,"b","y","p","f","e","c","n",5.1,3.76,"","k","w","","","t","e","","m","a"
"e",3,"x","k","n","f","p","","n",4.06,9.66,"","","y","","","f","f","","d","a"
"p",8.35,"x","i","y","f","a","c","k",8.97,8.6,"","i","n","","k","t","z","k","d","u"
"p",1.94,"p","t","n","f","a","c","g",7.39,2.48,"","t","y","","","t","e","","m","a"
"e",3.05,"s","d","g","t","d","c","p",2.81,4.71,"","","g","","","f","f","","d","a"
"p",5.73,"f","","g","f","d","c","w",5.7,10.61,"b","","n","","","f","f","","l","a"
"p",4.32,"x","s","o","f","a","c","y",6.02,7.09,"","g","o","","","f","f","","g","u"
"p",7.37,"x","s","n","t","s","d","r",5.15,15.31,"r","y","n","","","f","f","","d","u"
"e",4.77,"x","","w","f","d","","r",6.22,6.71,"","","l","","","f","f","","l","a"
"e",4.13,"f","d","p","t","d","c","p",4.64,6.24,"","","n","","","f","f","","d","a"
